# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	28435
#@/user_id	516707f7-e92f-42e4-8734-b63a89fcc6a2
a 	啊	c=182 d=3.99624 t=28384
a a a 	啊啊啊	c=1 d=1 t=758
a er ba ni 	阿尔巴尼	c=1 d=1 t=18116
ai 	哎	c=1 d=1 t=2758
ai 	唉	c=12 d=1 t=27300
ai 	挨	c=3 d=1.0061 t=26238
ai 	爱	c=2 d=1 t=21590
ai 	矮	c=1 d=1 t=16471
ai 	艾	c=1 d=1 t=2759
ai chi 	爱吃	c=1 d=1 t=13588
ai guo 	挨过	c=1 d=1 t=17089
ai ma 	挨骂	c=1 d=1 t=9214
ai pi 	挨批	c=1 d=1 t=20282
an 	按	c=3 d=1.02107 t=20212
an li 	案例	c=2 d=1.03544 t=9866
an li da kai fu jian sa la fen duan kong jian 	案例打开附件萨拉分段控件	c=1 d=1 t=7087
an lian 	暗恋	c=1 d=1 t=24880
an niu 	按钮	c=1 d=1 t=980
an pai 	安排	c=7 d=1.02619 t=26403
an quan 	安全	c=5 d=1 t=26549
an shi 	按时	c=3 d=1 t=18824
an shuo 	按说	c=5 d=1 t=26802
an zhao 	按照	c=69 d=1.00011 t=28072
an zhuang 	安装	c=33 d=1 t=25731
an zhuang 	暗装	c=1 d=1 t=7972
an zhuo 	安卓	c=2 d=1.97045 t=9038
ao 	奥	c=1 d=1 t=25118
ao ri 	奥日	c=1 d=1 t=7807
ao sen 	奥森	c=1 d=1 t=25862
ao yun 	奥运	c=1 d=1 t=17148
ao yun hui 	奥运会	c=1 d=1 t=25122
ba 	八	c=2 d=1.94649 t=15223
ba 	吧	c=226 d=8.2513 t=28367
ba 	把	c=49 d=1.16923 t=27784
ba 	爸	c=6 d=1.00003 t=24798
ba ba 	爸爸	c=1 d=1 t=18327
ba ba 	粑粑	c=1 d=1 t=24028
ba bang 	霸榜	c=1 d=1 t=12486
ba bu de 	巴不得	c=1 d=1 t=1454
ba gua 	八卦	c=2 d=1.00705 t=17360
ba jiao 	把角	c=1 d=1 t=9771
ba ma 	爸妈	c=4 d=1 t=21023
bai 	百	c=2 d=1 t=15944
bai cheng 	柏城	c=4 d=1 t=21732
bai da 	百大	c=1 d=1 t=15943
bai li gong 	百丽宫	c=1 d=1 t=24207
bai lu yuan 	白鹿原	c=3 d=2.44886 t=22224
bai tuo 	拜托	c=1 d=1 t=17825
bai xing 	百姓	c=1 d=1 t=14263
bai ye 	百叶	c=16 d=1.06205 t=22987
ban 	办	c=2 d=1.08208 t=12151
ban 	半	c=4 d=1 t=24643
ban 	搬	c=1 d=1 t=13055
ban 	板	c=7 d=1 t=24087
ban 	版	c=3 d=1 t=18347
ban 	班	c=2 d=1 t=18325
ban dong 	板洞	c=1 d=1 t=19015
ban fa 	办法	c=8 d=1 t=26064
ban gong 	办公	c=17 d=1.00007 t=24934
ban gong lou 	办公楼	c=1 d=1 t=26985
ban gong qu 	办公区	c=2 d=1.97531 t=7916
ban gong shi 	办公室	c=6 d=1 t=25336
ban ka 	办卡	c=1 d=1 t=16776
ban nian 	半年	c=1 d=1 t=17612
ban shang 	板上	c=1 d=1 t=25756
ban shi 	板式	c=1 d=1 t=12641
ban tian 	半天	c=3 d=1 t=22857
ban zi 	板子	c=1 d=1 t=23479
bang bang da 	棒棒哒	c=3 d=1 t=28103
bang mang 	帮忙	c=2 d=1 t=27705
bang qiang 	帮腔	c=1 d=1 t=8753
bang zhu 	帮助	c=2 d=1.92774 t=286
bao 	包	c=1 d=1 t=2029
bao 	堡	c=0 d=0.1 t=8660
bao 	宝	c=2 d=1 t=5569
bao 	报	c=20 d=4.75461 t=25979
bao 	爆	c=1 d=1 t=16291
bao an 	保安	c=1 d=1 t=12088
bao bei 	宝贝	c=1 d=1 t=20315
bao gao 	报告	c=7 d=1.69768 t=27750
bao guan 	报馆	c=8 d=5.07794 t=27537
bao guo 	包裹	c=1 d=1 t=6429
bao han 	保函	c=1 d=1 t=22571
bao han 	包含	c=1 d=1 t=6421
bao he zhi fang 	饱和脂肪	c=1 d=1 t=22526
bao hu 	保护	c=1 d=1 t=16332
bao jie 	保洁	c=1 d=1 t=7775
bao jing 	报警	c=2 d=1 t=26996
bao jing fa 	报警阀	c=3 d=2.59827 t=15637
bao jing fa shi 	报警阀室	c=1 d=1 t=15569
bao kuo 	包括	c=3 d=1.00004 t=25848
bao lei 	爆雷	c=1 d=1 t=23401
bao liu 	保留	c=3 d=2.344 t=11197
bao mi hua 	爆米花	c=4 d=3.10687 t=22493
bao ming 	保命	c=1 d=1 t=3737
bao mu 	保姆	c=1 d=1 t=18018
bao nuan 	保暖	c=1 d=1 t=14438
bao qian 	抱歉	c=4 d=1 t=14559
bao shen 	报审	c=2 d=1.042 t=4504
bao wen 	保温	c=3 d=1 t=7975
bao xi bu bao you 	报喜不报忧	c=1 d=1 t=22811
bao xian 	保险	c=1 d=1 t=24484
bao xiu 	保修	c=3 d=1 t=23610
bao yang 	保养	c=1 d=1 t=14280
bao you qu 	包邮区	c=1 d=1 t=12033
bao zhe 	包着	c=1 d=1 t=1497
bao zheng 	保证	c=2 d=1 t=20807
bao zhu 	包住	c=1 d=1 t=2022
bei 	北	c=8 d=1.00853 t=26249
bei 	呗	c=12 d=1.00003 t=25256
bei 	被	c=15 d=1.06361 t=28308
bei bian 	北边	c=2 d=1 t=28258
bei can jian 	备餐间	c=3 d=1.93239 t=13035
bei ce 	北侧	c=17 d=2.75526 t=25618
bei chen 	北辰	c=11 d=1 t=27808
bei da 	北大	c=2 d=1 t=14199
bei fang 	北方	c=2 d=1 t=16313
bei feng 	北风	c=1 d=1 t=9533
bei guo 	背锅	c=1 d=1 t=15937
bei jing 	北京	c=16 d=1.00004 t=26519
bei jing 	背景	c=2 d=1 t=22973
bei jing shi 	北京市	c=7 d=1.02128 t=26246
bei jing you 	北京游	c=1 d=1 t=593
bei jing yuan 	北京院	c=43 d=1.00028 t=27651
bei pin 	倍频	c=2 d=1.94649 t=25788
bei ping 	北平	c=1 d=1 t=10703
bei qu 	北区	c=2 d=1 t=18384
bei wang 	备忘	c=12 d=2.24142 t=28050
bei yi 	北医	c=1 d=1 t=15403
ben 	本	c=16 d=1.00067 t=27229
ben ceng 	本层	c=1 d=1 t=15246
ben chi 	奔驰	c=1 d=1 t=13404
ben ci 	本次	c=5 d=1 t=23180
ben di 	本地	c=1 d=1 t=685
ben lai 	本来	c=2 d=1 t=27428
ben shen 	本身	c=5 d=1.24293 t=11363
ben tao 	本套	c=1 d=1 t=26022
ben tou 	奔头	c=1 d=1 t=14958
ben zhe 	奔着	c=1 d=1 t=958
ben zhou 	本周	c=4 d=1 t=23297
beng 	泵	c=5 d=1 t=27982
bi 	壁	c=1 d=1 t=27366
bi 	必	c=2 d=1.94649 t=21773
bi 	比	c=11 d=1 t=26372
bi 	逼	c=1 d=1 t=11229
bi guan 	闭关	c=1 d=1 t=25179
bi guan 	闭馆	c=1 d=1 t=25180
bi ji 	笔记	c=1 d=1 t=1601
bi ji ben 	笔记本	c=1 d=1 t=18225
bi jiao 	比较	c=17 d=1 t=28182
bi jing 	毕竟	c=3 d=1.00399 t=25237
bi li 	比例	c=2 d=1.9802 t=4202
bi mao 	鼻毛	c=1 d=1 t=14373
bi mian 	避免	c=2 d=1 t=24555
bi nan 	避难	c=2 d=0.1 t=26882
bi nan zou dao 	避难走道	c=2 d=1.24908 t=27161
bi ru 	比如	c=8 d=1 t=22776
bi shi 	闭式	c=3 d=1.98511 t=7197
bi te bi 	比特币	c=1 d=1 t=17113
bi xu 	必须	c=7 d=1 t=21287
bi yan 	鼻炎	c=1 d=1 t=13250
bi yao 	必要	c=1 d=1 t=6700
bian 	变	c=16 d=1 t=19567
bian 	编	c=1 d=1 t=21692
bian 	边	c=28 d=1 t=26260
bian 	遍	c=2 d=1 t=6309
bian chang 	变长	c=1 d=1 t=6583
bian cheng 	变成	c=2 d=1 t=18259
bian cheng 	编程	c=3 d=1 t=21317
bian feng liang 	变风量	c=5 d=1 t=15741
bian geng 	变更	c=163 d=1.64424 t=28426
bian geng hui 	变更会	c=1 d=1 t=19986
bian geng li 	变更里	c=2 d=1 t=28195
bian hao 	编号	c=15 d=1 t=27835
bian hua 	变化	c=3 d=1 t=19548
bian hui 	边辉	c=18 d=1.00059 t=25819
bian jing 	变径	c=1 d=1 t=23280
bian li 	便利	c=1 d=1 t=3300
bian li 	遍历	c=5 d=1.98511 t=14808
bian pin 	变频	c=18 d=2.88246 t=24960
bian pin qi 	变频器	c=1 d=1 t=12703
bian shang 	边上	c=5 d=1 t=25161
bian tai 	变态	c=2 d=1.92774 t=16372
bian xian 	变现	c=1 d=1 t=13312
bian xiang 	变相	c=1 d=1 t=11228
bian xiao 	变小	c=1 d=1 t=25552
bian xin 	变心	c=1 d=1 t=28018
bian xing 	变形	c=1 d=1 t=2144
bian xing jin gang 	变形金刚	c=1 d=1 t=2146
bian yu 	便于	c=1 d=1 t=20829
biao 	标	c=10 d=1.91851 t=20410
biao 	表	c=23 d=1.00002 t=27243
biao da 	表达	c=5 d=1 t=27216
biao da shi 	表达式	c=2 d=1.88692 t=14757
biao duan 	标段	c=3 d=1 t=16244
biao gao 	标高	c=11 d=1 t=27647
biao jian 	表间	c=4 d=1.00002 t=15078
biao pei 	标配	c=1 d=1 t=20576
biao qian 	标签	c=1 d=1 t=3178
biao shi 	标识	c=2 d=1.05843 t=9372
biao shi 	表示	c=12 d=1.26714 t=19944
biao shu 	表述	c=1 d=1 t=19956
biao zhu 	标注	c=4 d=1.00011 t=21604
biao zhun 	标准	c=14 d=1.00374 t=23364
biao zhun ceng 	标准层	c=1 d=1 t=4343
bie 	别	c=32 d=1.7602 t=28312
bie de 	别的	c=1 d=1 t=17372
bie le 	别了	c=1 d=1 t=27870
bie ming 	别名	c=1 d=1 t=1212
bie ren 	别人	c=3 d=1 t=22745
bie wang le 	别忘了	c=1 d=1 t=1507
bing 	冰	c=1 d=1 t=2370
bing 	并	c=8 d=1.00378 t=20982
bing 	病	c=3 d=1 t=17074
bing du 	病毒	c=1 d=1 t=16112
bing dun dun 	冰墩墩	c=1 d=1 t=20352
bing jia 	病假	c=1 d=1 t=15056
bing ru 	并入	c=1 d=1 t=3591
bing xiang 	冰箱	c=2 d=1 t=27956
bing xie 	冰鞋	c=1 d=1 t=16948
bing xing 	并行	c=1 d=1 t=3767
bo 	博	c=1 d=1 t=17359
bo 	波	c=6 d=1 t=21041
bo 	薄	c=2 d=1 t=14445
bo ai 	博爱	c=1 d=1 t=16379
bo de 	博得	c=2 d=1.99005 t=15128
bo jin 	铂金	c=3 d=1 t=27878
bo li 	玻璃	c=4 d=1.84366 t=20578
bo shi 	博士	c=1 d=1 t=8413
bo te 	波特	c=2 d=1.97045 t=19299
bo tong 	博通	c=1 d=1 t=23440
bu 	不	c=334 d=3.30667 t=28320
bu 	补	c=3 d=1.00001 t=21449
bu 	部	c=12 d=1 t=28389
bu bian 	不变	c=2 d=1.00054 t=16871
bu cheng 	不成	c=1 d=1 t=6844
bu chong 	补充	c=12 d=1.05902 t=28425
bu chu lai 	不出来	c=1 d=1 t=12037
bu cuo 	不错	c=9 d=2.22554 t=25175
bu da 	不大	c=1 d=1 t=2256
bu de 	不得	c=3 d=1 t=13148
bu de le 	不得了	c=1 d=1 t=20319
bu ding 	不订	c=1 d=1 t=22804
bu dong 	不动	c=2 d=1 t=26920
bu dong 	不懂	c=1 d=1 t=28268
bu dui 	不对	c=5 d=1 t=19262
bu duo 	不多	c=1 d=1 t=13631
bu fang bian 	不方便	c=1 d=1 t=28338
bu fen 	部分	c=21 d=1.00114 t=27883
bu feng 	补风	c=15 d=1.31822 t=27589
bu fu 	不符	c=3 d=1.0382 t=26055
bu gan 	不干	c=1 d=1 t=5465
bu gou 	不够	c=3 d=1 t=12888
bu guan 	不管	c=4 d=1 t=17270
bu guang 	不光	c=2 d=1 t=22970
bu guo 	不过	c=5 d=1 t=23332
bu hao 	不好	c=3 d=1 t=26834
bu hui 	不会	c=7 d=1 t=27777
bu jia 	不加	c=1 d=1 t=1534
bu jiang wu de 	不讲武德	c=1 d=1 t=27457
bu jin ren qing 	不近人情	c=1 d=1 t=8642
bu ju 	布局	c=1 d=1 t=12552
bu kai xin 	不开心	c=1 d=1 t=26467
bu lai 	不来	c=1 d=1 t=16897
bu le 	不了	c=13 d=1.0136 t=27376
bu mai 	不买	c=1 d=1 t=21830
bu men 	部门	c=4 d=1.25919 t=18688
bu neng 	不能	c=9 d=1.75957 t=27522
bu pa 	不怕	c=1 d=1 t=26292
bu qing 	不清	c=1 d=1 t=26872
bu qing chu 	不清楚	c=1 d=1 t=20188
bu qu 	不去	c=1 d=1 t=22200
bu quan 	补全	c=1 d=1 t=20250
bu ru 	不如	c=1 d=1 t=5942
bu shang 	不上	c=1 d=1 t=19329
bu shao 	不少	c=4 d=1.06223 t=14173
bu she de 	不舍得	c=1 d=1 t=13707
bu shi 	不是	c=72 d=1.50857 t=28160
bu ti 	不提	c=1 d=1 t=2563
bu tie 	补贴	c=5 d=2.72181 t=409
bu tong 	不同	c=5 d=1 t=24702
bu tuo 	不妥	c=1 d=1 t=3502
bu xiao 	不小	c=1 d=1 t=27936
bu xin 	不信	c=1 d=1 t=13687
bu xing 	不行	c=13 d=1 t=27512
bu xu yao 	不需要	c=2 d=1 t=11369
bu yao 	不要	c=5 d=1 t=14562
bu yong 	不用	c=27 d=1.0225 t=28116
bu yuan 	部院	c=4 d=2.91316 t=10289
bu zhan 	不沾	c=1 d=1 t=12583
bu zhang 	部长	c=5 d=1.00003 t=25044
bu zhi 	不止	c=1 d=1 t=5220
bu zhi 	布置	c=13 d=1.93246 t=26439
bu zhi dao 	不知道	c=3 d=1 t=23116
bu zhou 	步骤	c=1 d=1 t=7547
bu zu 	不足	c=1 d=1 t=27592
bu zuo 	不做	c=1 d=1 t=1490
ca 	擦	c=9 d=1 t=27320
cai 	才	c=14 d=1.0299 t=21837
cai 	猜	c=2 d=1.0004 t=19127
cai dian 	彩电	c=1 d=1 t=27957
cai gou 	采购	c=6 d=1.05832 t=25538
cai jian 	裁剪	c=2 d=1 t=24073
cai liao 	材料	c=2 d=1 t=27398
cai neng 	才能	c=2 d=1.05366 t=6185
cai nuan 	采暖	c=2 d=1 t=16408
cai qu 	采取	c=1 d=1 t=15251
cai wu 	财务	c=1 d=1 t=11467
cai ye 	彩页	c=1 d=1 t=14836
cai yong 	采用	c=16 d=2.48999 t=27669
cai you 	才有	c=2 d=1 t=25182
cai yuan 	裁员	c=1 d=1 t=16911
cai zhi 	材质	c=1 d=1 t=15853
can jia 	参加	c=18 d=1.05004 t=23020
can jia le 	参加了	c=1 d=1 t=11552
can kao 	参考	c=4 d=1.4822 t=5964
can shu 	参数	c=18 d=1.00154 t=25779
can ting 	餐厅	c=4 d=1.19495 t=10031
can yin 	餐饮	c=18 d=1.00098 t=26071
can yu 	参与	c=2 d=1.26185 t=10516
can zhao 	参照	c=1 d=1 t=19261
cang 	藏	c=3 d=1.956 t=20299
cao 	槽	c=1 d=1 t=6677
cao ran 	曹然	c=1 d=1 t=21054
cao xin 	操心	c=1 d=1 t=16817
cao zuo 	操作	c=3 d=1.00008 t=13825
ce 	侧	c=1 d=1 t=23352
ce 	测	c=1 d=1 t=15618
ce dian 	测点	c=2 d=1.93707 t=24623
ce hui 	侧回	c=1 d=1 t=2416
ce shi 	测试	c=2 d=1.99501 t=23114
ce song 	侧送	c=3 d=1 t=18518
ce suan 	测算	c=1 d=1 t=26
ce wen 	测温	c=1 d=1 t=26165
ceng 	层	c=39 d=1.00043 t=25790
